,count,mean,std,min,25%,50%,75%,max
LV ActivePower (kW),50530.0,1307.6843318793105,1312.4592421268148,-2.47140502929687,50.6778898239135,825.8380737304685,2482.507568359375,3618.73291015625
Wind Speed (m/s),50530.0,7.557952236083194,4.227166055611555,0.0,4.201395392417902,7.104593515396115,10.30001997947685,25.2060108184814
Theoretical_Power_Curve (KWh),50530.0,1492.175462958337,1368.0182378726697,0.0,161.328167383204,1063.776282578535,2964.9724615869272,3600.0
Wind Direction (°),50530.0,123.68755850939179,93.44373572772608,0.0,49.3154373168945,73.71297836303705,201.69672012329076,359.997589111328
