model,k,train_nll,test_nll,train_rmse,test_rmse,train_r2,test_r2,train_mse,test_mse
Deterministic,---,N/A,N/A,152.436249,195.933411,0.986517,0.977662,0.013482,0.022274
Single Gaussian,1,-1.931191,-1.296546,289.542419,293.168152,0.951357,0.949989,0.048642,0.049868
MDN,2,-2.129843,-2.014865,205.125427,231.207932,0.975586,0.968895,0.024413,0.031017
MDN,3,-2.311052,-2.186236,197.384781,231.579971,0.977394,0.968795,0.022606,0.031116
MDN,4,-2.293750,-2.171230,210.788620,238.717484,0.974219,0.966841,0.025780,0.033064
MDN,5,-2.374486,-2.247217,198.114655,223.374252,0.977226,0.970967,0.022773,0.028950
